StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q27_Browser,Q27_Version,Q27_Operating System,Q27_Resolution,Q1,Q1_DO,Q9,Q9_DO,Q2,Q2_DO,Q10,Q10_DO,Q11,Q11_DO,Q12,Q12_DO,Q13,Q13_DO,Q14,Q14_DO,Q15,Q15_DO,Q16,Q16_DO,SurveyWave,Version,FL_3_DO,DefaultQuestionBlock_DO
2025-05-01 00:58:33,2025-05-01 01:01:06,IP Address,31.57.253.74,100,152,True,2025-05-01 01:01:07,R_7ZmITHSHxY6774l,,,,,40.7126,-74.0066,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1366x768,"    Contact Center","    Client|    Contact Center|    Pharmacy|    Provider","    TruCare",PCS|    TruCare|    ImageOne|    SIE Member Web,"    Mixed status","    Mostly Degraded|    Offline|    All Healthy|    Mixed status","    Help Desk / Support","    Marketing|    Help Desk / Support|    HR|    Finance","    Firewall issue (USC)","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Fluctuating warnings","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered",TruCare Authorization issue,"    MHK Performance Lag|    PCS Synthetic Coverage|TruCare Authorization issue|    Eligibility Firewall Timeout","    System grid color","    System grid color|    Troubleshooting line assignments|    Active Managed Incidents|    Access to Care Alerts","    PCS Web Failure","    Firewall Degradation|    PCS Web Failure|    Eligibility Failure|    MHK Outage","    PCS Synthetic HTML error","    PCS Synthetic HTML error|    Firewall reboot|    ImageOne socket exceptions|TruCare Authorization issue",,StatusQuo,FL_21,Q9|Q14|Q2|Q11|Q10|Q13|Q27|Q16|Q12|Q1|Q15
2025-05-01 01:01:43,2025-05-01 01:03:52,IP Address,31.57.253.74,100,128,True,2025-05-01 01:03:52,R_6jWo0pi9NJr8S19,,,,,40.7126,-74.0066,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1366x768,"    Contact Center","    Provider|    Client|    Contact Center|    Pharmacy","    TruCare",PCS|    TruCare|    ImageOne|    SIE Member Web,"    Mixed status","    Mostly Degraded|    Mixed status|    Offline|    All Healthy","    Help Desk / Support","    Help Desk / Support|    Finance|    HR|    Marketing","    MHK Slowness (USG)","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Increasing degradation","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered","    MHK Performance Lag","    PCS Synthetic Coverage|TruCare Authorization issue|    Eligibility Firewall Timeout|    MHK Performance Lag","    Troubleshooting line assignments","    Access to Care Alerts|    Troubleshooting line assignments|    System grid color|    Active Managed Incidents","    PCS Web Failure","    Eligibility Failure|    PCS Web Failure|    MHK Outage|    Firewall Degradation","    Firewall reboot","    Firewall reboot|    ImageOne socket exceptions|TruCare Authorization issue|    PCS Synthetic HTML error",,2,FL_22,Q2|Q11|Q15|Q27|Q10|Q14|Q16|Q1|Q12|Q9|Q13
2025-05-01 01:04:05,2025-05-01 01:11:49,IP Address,75.40.142.200,100,464,True,2025-05-01 01:11:49,R_3CB28C08ankQMI7,,,,,34.2849,-85.2253,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,600x1308,"    Client","    Provider|    Client|    Contact Center|    Pharmacy","    TruCare",PCS|    TruCare|    ImageOne|    SIE Member Web,"    Mixed status","    Offline|    All Healthy|    Mostly Degraded|    Mixed status","    Help Desk / Support","    Help Desk / Support|    HR|    Finance|    Marketing","    MHK Slowness (USG)","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Increasing degradation","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered",TruCare Authorization issue,"    PCS Synthetic Coverage|    MHK Performance Lag|TruCare Authorization issue|    Eligibility Firewall Timeout","    Access to Care Alerts","    Access to Care Alerts|    Troubleshooting line assignments|    Active Managed Incidents|    System grid color","    Firewall Degradation","    PCS Web Failure|    Eligibility Failure|    Firewall Degradation|    MHK Outage",TruCare Authorization issue,"    PCS Synthetic HTML error|    Firewall reboot|TruCare Authorization issue|    ImageOne socket exceptions",,StatusQuo,FL_21,Q27|Q15|Q13|Q16|Q12|Q2|Q1|Q10|Q14|Q11|Q9
2025-05-01 01:12:35,2025-05-01 01:15:40,IP Address,71.174.216.168,100,184,True,2025-05-01 01:15:40,R_1eQASof9x6ua0J8,,,,,42.3182,-71.6429,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,"    Client","    Provider|    Client|    Contact Center|    Pharmacy","    TruCare",PCS|    TruCare|    ImageOne|    SIE Member Web,"    Mixed status","    Mostly Degraded|    All Healthy|    Mixed status|    Offline","    Finance","    Help Desk / Support|    Finance|    Marketing|    HR","    Eligibility Socket Error","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Fully recovered","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered","    PCS Synthetic Coverage","    MHK Performance Lag|    Eligibility Firewall Timeout|TruCare Authorization issue|    PCS Synthetic Coverage","    System grid color","    Troubleshooting line assignments|    Access to Care Alerts|    System grid color|    Active Managed Incidents","    Eligibility Failure","    Firewall Degradation|    MHK Outage|    Eligibility Failure|    PCS Web Failure","    ImageOne socket exceptions",TruCare Authorization issue|    ImageOne socket exceptions|    Firewall reboot|    PCS Synthetic HTML error,,4,FL_26,Q12|Q27|Q9|Q1|Q15|Q16|Q13|Q2|Q10|Q11|Q14
2025-05-01 01:59:20,2025-05-01 02:01:19,IP Address,76.36.117.155,100,119,True,2025-05-01 02:01:20,R_10SFdgvtVNjPBas,,,,,33.6988,-78.916,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,"    Client","    Contact Center|    Pharmacy|    Provider|    Client","    ImageOne",PCS|    TruCare|    ImageOne|    SIE Member Web,"    Mixed status","    Mostly Degraded|    All Healthy|    Mixed status|    Offline","    Marketing","    HR|    Help Desk / Support|    Marketing|    Finance","    PCS Web Alert","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Fluctuating warnings","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered",TruCare Authorization issue,"    PCS Synthetic Coverage|    MHK Performance Lag|TruCare Authorization issue|    Eligibility Firewall Timeout","    Active Managed Incidents","    System grid color|    Troubleshooting line assignments|    Active Managed Incidents|    Access to Care Alerts","    MHK Outage","    Firewall Degradation|    MHK Outage|    Eligibility Failure|    PCS Web Failure","    Firewall reboot","    PCS Synthetic HTML error|    ImageOne socket exceptions|    Firewall reboot|TruCare Authorization issue",,StatusQuo,FL_21,Q12|Q11|Q1|Q14|Q16|Q27|Q15|Q13|Q10|Q9|Q2
2025-05-01 01:39:49,2025-05-01 02:25:53,IP Address,204.235.242.178,100,2764,True,2025-05-01 02:25:54,R_7OJwDyICifxeoJb,,,,,37.751,-97.822,anonymous,EN,Chrome,134.0.0.0,Windows NT 10.0,1366x768,"    Provider","    Contact Center|    Provider|    Pharmacy|    Client","    TruCare",PCS|    TruCare|    ImageOne|    SIE Member Web,"    All Healthy","    Offline|    Mixed status|    Mostly Degraded|    All Healthy","    HR","    Marketing|    Finance|    HR|    Help Desk / Support","    Firewall issue (USC)","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Fully recovered","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered","    MHK Performance Lag","    MHK Performance Lag|    Eligibility Firewall Timeout|TruCare Authorization issue|    PCS Synthetic Coverage","    Troubleshooting line assignments","    Troubleshooting line assignments|    Active Managed Incidents|    Access to Care Alerts|    System grid color","    PCS Web Failure","    MHK Outage|    PCS Web Failure|    Firewall Degradation|    Eligibility Failure","    PCS Synthetic HTML error","    ImageOne socket exceptions|    PCS Synthetic HTML error|TruCare Authorization issue|    Firewall reboot",,2,FL_22,Q12|Q13|Q9|Q27|Q2|Q14|Q10|Q16|Q15|Q1|Q11
2025-05-01 02:43:09,2025-05-01 02:46:21,IP Address,24.250.132.153,100,192,True,2025-05-01 02:46:22,R_6sXQZKyxM626pLN,,,,,29.6825,-82.3606,anonymous,EN,Edge,135.0.0.0,Windows NT 10.0,1536x864,"    Contact Center","    Contact Center|    Pharmacy|    Client|    Provider","    ImageOne",PCS|    TruCare|    ImageOne|    SIE Member Web,"    Mixed status","    All Healthy|    Offline|    Mostly Degraded|    Mixed status","    Help Desk / Support","    HR|    Marketing|    Help Desk / Support|    Finance","    Eligibility Socket Error","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Fully recovered","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered","    PCS Synthetic Coverage","    PCS Synthetic Coverage|    Eligibility Firewall Timeout|    MHK Performance Lag|TruCare Authorization issue","    Troubleshooting line assignments","    Troubleshooting line assignments|    Active Managed Incidents|    Access to Care Alerts|    System grid color","    PCS Web Failure","    MHK Outage|    PCS Web Failure|    Firewall Degradation|    Eligibility Failure","    PCS Synthetic HTML error",TruCare Authorization issue|    Firewall reboot|    PCS Synthetic HTML error|    ImageOne socket exceptions,,2,FL_22,Q11|Q10|Q13|Q1|Q12|Q2|Q9|Q14|Q27|Q15|Q16
2025-05-01 02:37:05,2025-05-01 02:46:22,IP Address,204.235.242.142,100,556,True,2025-05-01 02:46:22,R_6fGKf98cozpZjfL,,,,,37.751,-97.822,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,"    Contact Center","    Provider|    Contact Center|    Pharmacy|    Client","    ImageOne",PCS|    TruCare|    ImageOne|    SIE Member Web,"    Offline","    Mixed status|    Offline|    All Healthy|    Mostly Degraded","    Finance","    Marketing|    Help Desk / Support|    HR|    Finance","    PCS Web Alert","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Increasing degradation","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered","    Eligibility Firewall Timeout","    MHK Performance Lag|TruCare Authorization issue|    Eligibility Firewall Timeout|    PCS Synthetic Coverage","    Troubleshooting line assignments","    Active Managed Incidents|    Troubleshooting line assignments|    System grid color|    Access to Care Alerts","    PCS Web Failure","    Eligibility Failure|    MHK Outage|    PCS Web Failure|    Firewall Degradation",TruCare Authorization issue,"    Firewall reboot|TruCare Authorization issue|    PCS Synthetic HTML error|    ImageOne socket exceptions",,4,FL_26,Q15|Q10|Q9|Q12|Q13|Q27|Q11|Q14|Q1|Q16|Q2
2025-05-01 02:46:31,2025-05-01 02:48:23,IP Address,204.235.242.142,100,111,True,2025-05-01 02:48:23,R_7nibMvP35OFnsMu,,,,,37.751,-97.822,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,"    Provider","    Provider|    Client|    Contact Center|    Pharmacy","    ImageOne",PCS|    TruCare|    ImageOne|    SIE Member Web,"    Mostly Degraded","    Mixed status|    Mostly Degraded|    Offline|    All Healthy","    Finance","    Finance|    Help Desk / Support|    Marketing|    HR","    MHK Slowness (USG)","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Increasing degradation","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered",TruCare Authorization issue,TruCare Authorization issue|    PCS Synthetic Coverage|    Eligibility Firewall Timeout|    MHK Performance Lag,"    Active Managed Incidents","    Access to Care Alerts|    Active Managed Incidents|    Troubleshooting line assignments|    System grid color","    MHK Outage","    Firewall Degradation|    MHK Outage|    PCS Web Failure|    Eligibility Failure",TruCare Authorization issue,"    PCS Synthetic HTML error|TruCare Authorization issue|    ImageOne socket exceptions|    Firewall reboot",,StatusQuo,FL_21,Q1|Q12|Q14|Q13|Q9|Q2|Q11|Q15|Q10|Q16|Q27
2025-05-01 03:07:32,2025-05-01 03:10:02,IP Address,204.235.242.142,100,149,True,2025-05-01 03:10:03,R_10Madp2NcCT8495,,,,,37.751,-97.822,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,"    Client","    Provider|    Contact Center|    Client|    Pharmacy","    SIE Member Web",PCS|    TruCare|    ImageOne|    SIE Member Web,"    All Healthy","    Offline|    Mixed status|    Mostly Degraded|    All Healthy","    HR","    Finance|    Marketing|    Help Desk / Support|    HR","    PCS Web Alert","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Fluctuating warnings","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered",TruCare Authorization issue,"    PCS Synthetic Coverage|    MHK Performance Lag|TruCare Authorization issue|    Eligibility Firewall Timeout","    Active Managed Incidents","    Troubleshooting line assignments|    System grid color|    Active Managed Incidents|    Access to Care Alerts","    Eligibility Failure","    PCS Web Failure|    MHK Outage|    Eligibility Failure|    Firewall Degradation",TruCare Authorization issue,"    ImageOne socket exceptions|    Firewall reboot|    PCS Synthetic HTML error|TruCare Authorization issue",,3,FL_25,Q10|Q14|Q12|Q27|Q2|Q15|Q13|Q16|Q9|Q11|Q1
2025-05-01 03:31:01,2025-05-01 03:34:16,IP Address,67.6.237.70,100,194,True,2025-05-01 03:34:17,R_1yLQqWXUwZbQR1f,,,,,38.2859,-91.7204,anonymous,EN,Chrome,109.0.0.0,Windows NT 10.0,1366x768,"    Provider","    Pharmacy|    Contact Center|    Client|    Provider","    TruCare",PCS|    TruCare|    ImageOne|    SIE Member Web,"    Mixed status","    Offline|    Mixed status|    Mostly Degraded|    All Healthy","    Finance","    Marketing|    Finance|    HR|    Help Desk / Support","    Eligibility Socket Error","    Firewall issue (USC)|    MHK Slowness (USG)|    PCS Web Alert|    Eligibility Socket Error","    Fluctuating warnings","    Stable with no warnings|    Increasing degradation|    Fluctuating warnings|    Fully recovered",TruCare Authorization issue,TruCare Authorization issue|    Eligibility Firewall Timeout|    PCS Synthetic Coverage|    MHK Performance Lag,"    Active Managed Incidents","    Active Managed Incidents|    Troubleshooting line assignments|    System grid color|    Access to Care Alerts","    Eligibility Failure","    Firewall Degradation|    MHK Outage|    PCS Web Failure|    Eligibility Failure","    PCS Synthetic HTML error","    PCS Synthetic HTML error|    Firewall reboot|TruCare Authorization issue|    ImageOne socket exceptions",,StatusQuo,FL_21,Q16|Q13|Q15|Q10|Q27|Q2|Q1|Q11|Q14|Q9|Q12
