StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,MetaInfo_Browser,MetaInfo_Version,MetaInfo_Operating System,MetaInfo_Resolution,Q1,Q1_DO,Q9,Q10,Q14,Q17,Q18,Q18_DO,Q20,DataDashboardUsage,SmartHomeDashUsage,VisualClarity,InfoOrgClarity,SC0,SurveyWave,Version,FL_3_DO,Gistblock_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Which device had the worst problem?,Which device had the worst problem? - Display Order,Which direction was the offline ceiling light?,How many items were Warnings (non-critical alerts)?,How many devices were specifically labeled as Offline (not just Off)?,How many devices named “Sink” were shown?,Which two devices were both Off but not alerts?,Which two devices were both Off but not alerts? - Display Order,What type of dashboard did you see?,How often do you use data dashboards in your life?,How often do you use a smart home dashboard in your life?,"How clear was the dashboard’s visual design (e.g., text readability, contrast, spacing)?","How clear was the dashboard's informational organization (grouping, labels, layout)?",Score,SurveyWave,Version,FL_3 - Block Randomizer - Display Order,Gist block - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID75_BROWSER""}","{""ImportId"":""QID75_VERSION""}","{""ImportId"":""QID75_OS""}","{""ImportId"":""QID75_RESOLUTION""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_DO""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID63""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID67_DO""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID72""}","{""ImportId"":""QID71""}","{""ImportId"":""QID73""}","{""ImportId"":""SC_026QrkvBa3dwwrc""}","{""ImportId"":""SurveyWave""}","{""ImportId"":""Version""}","{""ImportId"":""FL_3_DO""}","{""ImportId"":""BL_2miQ8sO4XRcUQn4_DO""}"
2025-10-03 17:12:23,2025-10-03 17:14:34,IP Address,172.56.60.86,100,131,True,2025-10-03 17:14:34,R_3Ayj2EIPbO0AlP3,,,,,29.7376,-95.521,anonymous,EN,1,Chrome,140.0.0.0,Android 10,412x883,Ceiling E,Ceiling E|Oven light|Smoke detector|Leak detector,North,3,3,2,TV and Window,Ceiling N and Ceiling W|TV and Window|Ceiling E and Oven|Mirror 1 and Mirror 2,Smart home,Never,Never,Moderately clear,Very clear,2,3,NoHierarchyHighChartjunk,FL_50,Q17|Q10|Q1|Q9|Q20|MetaInfo|Q14|Q18
2025-10-03 17:12:07,2025-10-03 17:14:53,IP Address,35.149.87.22,100,165,True,2025-10-03 17:14:53,R_1SMegWElULILtG9,,,,,42.8125,-86.1416,anonymous,EN,1,Chrome,139.0.0.0,CrOS x86_64 14541.0.0,1366x768,Smoke detector,Oven light|Smoke detector|Ceiling E|Leak detector,East,0,3,0,Mirror 1 and Mirror 2,Ceiling E and Oven|TV and Window|Ceiling N and Ceiling W|Mirror 1 and Mirror 2,Smart home,Never,Never,Not at all clear,Not at all clear,4,3,FloorplanHierarchyLowChartjunk,FL_60,Q14|Q1|Q10|Q17|Q20|Q9|MetaInfo|Q18
2025-10-03 17:26:25,2025-10-03 17:29:41,IP Address,100.36.254.76,100,196,True,2025-10-03 17:29:41,R_7lQ73gwTNp2WgrP,,,,,39.0851,-77.059,anonymous,EN,0.8999999761581421,Edge,140.0.0.0,Windows NT 10.0,1920x1080,Smoke detector,Leak detector|Oven light|Smoke detector|Ceiling E,East,2,2,1,Mirror 1 and Mirror 2,TV and Window|Mirror 1 and Mirror 2|Ceiling N and Ceiling W|Ceiling E and Oven,Smart home,Daily,Daily,Moderately clear,Moderately clear,4,3,ImportanceHierarchyMediumChartjunk,FL_56,Q18|Q10|Q9|Q17|Q20|MetaInfo|Q1|Q14
2025-10-03 18:01:55,2025-10-03 18:03:10,IP Address,73.51.180.62,100,75,True,2025-10-03 18:03:11,R_62GuBugrEy8gBnH,,,,,39.8367,-88.9428,anonymous,EN,1,Chrome,139.0.0.0,CrOS x86_64 14541.0.0,1517x852,Ceiling E,Ceiling E|Smoke detector|Oven light|Leak detector,East,1,2,1,Ceiling E and Oven,TV and Window|Ceiling E and Oven|Mirror 1 and Mirror 2|Ceiling N and Ceiling W,IT infrastructure,Monthly,Monthly,Moderately clear,Moderately clear,2,3,FloorplanHierarchyMediumChartjunk,FL_62,Q1|Q9|Q20|MetaInfo|Q18|Q10|Q17|Q14
2025-10-03 18:02:06,2025-10-03 18:03:22,IP Address,99.23.243.205,100,75,True,2025-10-03 18:03:22,R_7cJZvWYk3xMgmFH,,,,,34.1526,-118.267,anonymous,EN,1,Chrome,141.0.0.0,Android 10,412x915,Smoke detector,Leak detector|Oven light|Ceiling E|Smoke detector,North,0,1,1,Ceiling N and Ceiling W,TV and Window|Ceiling N and Ceiling W|Mirror 1 and Mirror 2|Ceiling E and Oven,IT infrastructure,Never,Never,Slightly clear,Slightly clear,0,3,FloorplanHierarchyHighChartjunk,FL_64,Q1|Q9|Q18|Q17|Q10|Q20|Q14|MetaInfo
2025-10-03 18:02:44,2025-10-03 18:04:40,IP Address,71.50.219.12,100,116,True,2025-10-03 18:04:40,R_523c5V1qQXj5PCR,,,,,40.1778,-77.2328,anonymous,EN,0.8999999761581421,Edge,140.0.0.0,Windows NT 10.0,1536x864,Oven light,Oven light|Smoke detector|Leak detector|Ceiling E,North,0,4,0,Ceiling N and Ceiling W,Ceiling N and Ceiling W|TV and Window|Ceiling E and Oven|Mirror 1 and Mirror 2,IT infrastructure,Never,Never,Not at all clear,Not at all clear,1,3,NoHierarchyMediumChartjunk,FL_46,Q18|Q9|MetaInfo|Q14|Q1|Q10|Q20|Q17
2025-10-04 15:04:34,2025-10-04 15:06:04,IP Address,96.58.138.12,100,90,True,2025-10-04 15:06:05,R_7dPQPPa9Y0lYim5,,,,,28.0206,-82.4574,anonymous,EN,1,Chrome,140.0.0.0,Android 10,360x800,Ceiling E,Smoke detector|Ceiling E|Leak detector|Oven light,North,1,2,2,Mirror 1 and Mirror 2,Ceiling E and Oven|Ceiling N and Ceiling W|Mirror 1 and Mirror 2|TV and Window,Smart home,Daily,Daily,Extremely clear,Extremely clear,3,3,ImportanceHierarchyMediumChartjunk,FL_56,Q17|Q9|MetaInfo|Q14|Q1|Q10|Q18|Q20
2025-10-04 15:04:31,2025-10-04 15:06:06,IP Address,73.206.120.42,100,95,True,2025-10-04 15:06:06,R_5hineMTIda2xjFU,,,,,29.8478,-95.6599,anonymous,EN,1,Safari iPhone,18.6,iPhone,414x896,Leak detector,Oven light|Leak detector|Ceiling E|Smoke detector,North,1,3,1,TV and Window,Mirror 1 and Mirror 2|Ceiling E and Oven|TV and Window|Ceiling N and Ceiling W,Smart home,Never,Never,Extremely clear,Very clear,2,3,ImportanceHierarchyLowChartjunk,FL_54,Q9|Q17|Q10|Q20|Q18|Q14|MetaInfo|Q1
2025-10-04 15:04:37,2025-10-04 15:06:14,IP Address,131.106.208.65,100,97,True,2025-10-04 15:06:15,R_1kMQiRNiUjd8PbT,,,,,37.9318,-87.6602,anonymous,EN,0.8999999761581421,Chrome,140.0.7339.207,Android 15,360x803,Leak detector,Leak detector|Oven light|Ceiling E|Smoke detector,South,1,1,2,Ceiling N and Ceiling W,Ceiling E and Oven|Mirror 1 and Mirror 2|Ceiling N and Ceiling W|TV and Window,Smart home,Never,Never,Moderately clear,Slightly clear,2,3,FloorplanHierarchyLowChartjunk,FL_60,Q20|MetaInfo|Q10|Q14|Q1|Q18|Q9|Q17
2025-10-04 15:04:12,2025-10-04 15:06:19,IP Address,172.59.222.77,100,127,True,2025-10-04 15:06:20,R_6hDyuwuas8GVmRO,,,,,35.1716,-80.9118,anonymous,EN,1,Firefox iPhone,143.1.1,iPhone,390x844,Leak detector,Leak detector|Ceiling E|Smoke detector|Oven light,East,3,2,2,Ceiling E and Oven,Ceiling E and Oven|Ceiling N and Ceiling W|TV and Window|Mirror 1 and Mirror 2,Smart home,Never,Never,Slightly clear,Slightly clear,5,3,ImportanceHierarchyLowChartjunk,FL_54,Q1|Q9|Q18|Q17|Q20|Q14|Q10|MetaInfo
2025-10-04 15:05:18,2025-10-04 15:06:29,IP Address,65.30.162.248,100,70,True,2025-10-04 15:06:29,R_1oH05ewBz06XGlb,,,,,42.8895,-87.9074,anonymous,EN,1,Chrome,140.0.0.0,Windows NT 10.0,1536x864,Leak detector,Smoke detector|Ceiling E|Leak detector|Oven light,East,1,1,3,TV and Window,Ceiling N and Ceiling W|Mirror 1 and Mirror 2|Ceiling E and Oven|TV and Window,Smart home,Never,Never,Moderately clear,Moderately clear,3,3,RoomHierarchyLowChartjunk,FL_21,Q10|Q17|Q14|Q9|Q18|MetaInfo|Q1|Q20
2025-10-04 15:04:58,2025-10-04 15:06:40,IP Address,172.10.227.148,100,101,True,2025-10-04 15:06:40,R_1O9UkPvILSqUSsh,,,,,42.2324,-83.7017,anonymous,EN,1,Chrome,140.0.0.0,Windows NT 10.0,2560x1440,Leak detector,Leak detector|Oven light|Smoke detector|Ceiling E,North,3,4,1,Ceiling N and Ceiling W,TV and Window|Ceiling N and Ceiling W|Ceiling E and Oven|Mirror 1 and Mirror 2,Smart home,Never,Never,Slightly clear,Slightly clear,3,3,FloorplanHierarchyMediumChartjunk,FL_62,Q17|Q14|Q20|Q18|Q1|Q10|Q9|MetaInfo
2025-10-04 15:05:43,2025-10-04 15:06:59,IP Address,76.146.198.141,100,76,True,2025-10-04 15:07:00,R_3rP9ekB6wYt8Oet,,,,,47.509,-122.1163,anonymous,EN,0.8999999761581421,Chrome,140.0.7339.207,Android 16,412x915,Oven light,Leak detector|Oven light|Smoke detector|Ceiling E,East,2,4,1,Ceiling E and Oven,Ceiling N and Ceiling W|Mirror 1 and Mirror 2|Ceiling E and Oven|TV and Window,Smart home,Never,Never,Slightly clear,Not at all clear,2,3,RoomHierarchyHighChartjunk,FL_25,Q20|Q14|Q18|MetaInfo|Q1|Q9|Q17|Q10
2025-10-04 15:05:17,2025-10-04 15:07:00,IP Address,174.178.7.79,100,102,True,2025-10-04 15:07:00,R_74GLD8YxOx4T4Wd,,,,,41.4367,-75.6556,anonymous,EN,0.8999999761581421,Chrome,140.0.7339.207,Android 11,601x962,Smoke detector,Oven light|Smoke detector|Leak detector|Ceiling E,West,2,2,1,Mirror 1 and Mirror 2,Mirror 1 and Mirror 2|Ceiling E and Oven|Ceiling N and Ceiling W|TV and Window,IT infrastructure,Never,Never,Not at all clear,Not at all clear,2,3,NoHierarchyHighChartjunk,FL_50,MetaInfo|Q9|Q1|Q10|Q17|Q14|Q20|Q18
2025-10-04 15:06:01,2025-10-04 15:07:05,IP Address,35.150.244.47,100,64,True,2025-10-04 15:07:06,R_1EntOmTgbKJUlCY,,,,,33.9332,-83.3536,anonymous,EN,1,Safari iPhone,17.4.1,iPhone,390x844,Smoke detector,Leak detector|Oven light|Ceiling E|Smoke detector,South,3,2,2,Mirror 1 and Mirror 2,Ceiling E and Oven|Mirror 1 and Mirror 2|TV and Window|Ceiling N and Ceiling W,Smart home,Daily,Monthly,Moderately clear,Moderately clear,4,3,NoHierarchyLowChartjunk,FL_26,Q20|Q10|Q9|Q18|Q14|Q1|MetaInfo|Q17
2025-10-04 15:06:10,2025-10-04 15:07:21,IP Address,24.125.189.208,100,71,True,2025-10-04 15:07:22,R_1p0hup3wdCS8x1o,,,,,33.7574,-84.4236,anonymous,EN,0.8999999761581421,Chrome,140.0.7339.207,Android 15,320x694,Ceiling E,Oven light|Ceiling E|Leak detector|Smoke detector,East,1,3,2,Ceiling E and Oven,TV and Window|Ceiling N and Ceiling W|Ceiling E and Oven|Mirror 1 and Mirror 2,Hospital bed display,Never,Never,Not at all clear,Not at all clear,1,3,RoomHierarchyMediumChartjunk,FL_22,Q1|Q20|Q10|MetaInfo|Q17|Q9|Q18|Q14
2025-10-04 15:06:17,2025-10-04 15:07:28,IP Address,68.207.160.49,100,71,True,2025-10-04 15:07:29,R_5dLFBK0cVcTwfCA,,,,,31.8296,-86.6178,anonymous,EN,0.699999988079071,Chrome,140.0.7339.207,Android 13,412x915,Ceiling E,Oven light|Smoke detector|Ceiling E|Leak detector,South,1,2,2,Ceiling N and Ceiling W,Ceiling E and Oven|Ceiling N and Ceiling W|Mirror 1 and Mirror 2|TV and Window,Hospital bed display,Monthly,Monthly,Slightly clear,Moderately clear,1,3,NoHierarchyMediumChartjunk,FL_46,MetaInfo|Q18|Q9|Q10|Q17|Q1|Q20|Q14
2025-10-04 15:05:12,2025-10-04 15:07:29,IP Address,108.44.208.147,100,137,True,2025-10-04 15:07:29,R_5L5X8wqifnblKHK,,,,,38.1638,-77.6811,anonymous,EN,0.8999999761581421,Chrome,140.0.7339.208,Android 15,320x687,Ceiling E,Ceiling E|Smoke detector|Leak detector|Oven light,East,2,3,3,Mirror 1 and Mirror 2,TV and Window|Ceiling E and Oven|Ceiling N and Ceiling W|Mirror 1 and Mirror 2,IT infrastructure,Monthly,Never,Very clear,Very clear,2,3,FloorplanHierarchyMediumChartjunk,FL_62,Q14|Q1|Q9|Q20|Q17|MetaInfo|Q18|Q10
2025-10-04 15:06:22,2025-10-04 15:07:35,IP Address,172.58.165.102,100,72,True,2025-10-04 15:07:35,R_6qgkaCFNAsN5a1I,,,,,41.8835,-87.6305,anonymous,EN,0.8999999761581421,Chrome,140.0.7339.207,Android 14,412x915,Smoke detector,Leak detector|Ceiling E|Smoke detector|Oven light,East,2,2,2,Ceiling E and Oven,TV and Window|Ceiling E and Oven|Ceiling N and Ceiling W|Mirror 1 and Mirror 2,Smart home,Never,Never,Slightly clear,Slightly clear,3,3,ImportanceHierarchyHighChartjunk,FL_58,Q17|MetaInfo|Q14|Q9|Q1|Q10|Q20|Q18
2025-10-04 15:05:24,2025-10-04 15:07:37,IP Address,71.205.24.184,100,132,True,2025-10-04 15:07:37,R_10rAIUjsXF8nzj3,,,,,39.5884,-105.0776,anonymous,EN,1,Chrome,140.0.0.0,Windows NT 10.0,1536x864,Smoke detector,Smoke detector|Ceiling E|Leak detector|Oven light,South,1,1,1,Mirror 1 and Mirror 2,TV and Window|Ceiling E and Oven|Ceiling N and Ceiling W|Mirror 1 and Mirror 2,Smart home,Never,Never,Very clear,Very clear,2,3,RoomHierarchyHighChartjunk,FL_25,Q9|Q17|Q1|Q20|Q10|Q18|MetaInfo|Q14
2025-10-04 15:06:32,2025-10-04 15:07:42,IP Address,70.185.57.47,100,70,True,2025-10-04 15:07:43,R_6tB3ZBXWpo8NmFj,,,,,32.1453,-110.9456,anonymous,EN,0.8999999761581421,Chrome,140.0.7339.207,Android 15,486x1187,Leak detector,Ceiling E|Smoke detector|Leak detector|Oven light,South,2,3,2,Mirror 1 and Mirror 2,Ceiling N and Ceiling W|Mirror 1 and Mirror 2|TV and Window|Ceiling E and Oven,IT infrastructure,Never,Never,Moderately clear,Slightly clear,2,3,NoHierarchyHighChartjunk,FL_50,Q10|Q20|Q17|Q14|Q18|MetaInfo|Q1|Q9
2025-10-04 15:06:33,2025-10-04 15:07:54,IP Address,67.84.24.249,100,80,True,2025-10-04 15:07:54,R_6MLowrzfqq0Rm5d,,,,,40.7601,-73.3498,anonymous,EN,1,Safari iPhone,18.6,iPhone,390x844,Smoke detector,Leak detector|Oven light|Ceiling E|Smoke detector,East,2,3,0,Ceiling E and Oven,Ceiling N and Ceiling W|Ceiling E and Oven|Mirror 1 and Mirror 2|TV and Window,Smart home,Never,Never,Not at all clear,Slightly clear,3,3,RoomHierarchyLowChartjunk,FL_21,Q1|MetaInfo|Q18|Q20|Q14|Q10|Q9|Q17
2025-10-04 15:07:04,2025-10-04 15:08:10,IP Address,75.176.4.190,100,66,True,2025-10-04 15:08:11,R_7DUtssGLRBGMlod,,,,,35.2842,-80.8719,anonymous,EN,0.8999999761581421,Chrome,141.0.0.0,Windows NT 10.0,1366x768,Smoke detector,Leak detector|Oven light|Smoke detector|Ceiling E,East,0,3,2,TV and Window,TV and Window|Ceiling E and Oven|Ceiling N and Ceiling W|Mirror 1 and Mirror 2,Smart home,Never,Never,Not at all clear,Slightly clear,2,3,RoomHierarchyMediumChartjunk,FL_22,Q20|Q9|Q10|Q1|Q14|MetaInfo|Q17|Q18
2025-10-04 15:04:48,2025-10-04 15:08:15,IP Address,72.222.157.48,100,207,True,2025-10-04 15:08:16,R_7QnPn8t6J4VKBYz,,,,,33.4917,-111.9837,anonymous,EN,1,Safari iPhone,26.0,iPhone,393x852,Ceiling E,Leak detector|Ceiling E|Smoke detector|Oven light,South,0,1,1,Ceiling E and Oven,Mirror 1 and Mirror 2|Ceiling N and Ceiling W|Ceiling E and Oven|TV and Window,Hospital bed display,Monthly,Never,Extremely clear,Extremely clear,0,3,FloorplanHierarchyHighChartjunk,FL_64,MetaInfo|Q10|Q17|Q9|Q1|Q20|Q14|Q18
2025-10-04 15:06:48,2025-10-04 15:08:17,IP Address,216.164.185.54,100,88,True,2025-10-04 15:08:18,R_1XnBWNBKfVs6o4H,,,,,40.595,-75.5289,anonymous,EN,1,Chrome,132.0.0.0,CrOS x86_64 14541.0.0,1200x750,Ceiling E,Oven light|Ceiling E|Smoke detector|Leak detector,North,2,3,0,Ceiling E and Oven,Ceiling N and Ceiling W|Ceiling E and Oven|Mirror 1 and Mirror 2|TV and Window,Smart home,Never,Never,Slightly clear,Not at all clear,2,3,NoHierarchyHighChartjunk,FL_50,Q18|Q14|Q9|Q20|Q1|Q10|MetaInfo|Q17
