Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Which part of the organization showed the most severe issues?,Which application appeared to require the most urgent attention based on its alert status?,What was the overall condition of the Provider systems?,Which team or role would likely be most concerned with the issues displayed in the dashboard?,"Based on the information shown, which incident was still being actively investigated?",What trend was visible in the PCS application status over the last hour?,Which issue seemed to involve a failure in external communication or handshake?,"Based on the dashboard layout, what kind of alert was most likely automatically generated rather than manually entered?","Which incident was in the 'Isolation' state, suggesting containment but not resolution?","If you had to triage one issue first based on the dashboard, which would be the best candidate?",Version
5/1/2025 3:36,5/1/2025 3:38,IP Address,216.254.255.59,100,162,TRUE,5/1/2025 3:38,R_1h4iUYwcntHXPQy,,,,,43.5229,-96.786,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1707x1067,    Pharmacy,    TruCare,    Mixed status,    Help Desk / Support,    MHK Slowness (USG),    Stable with no warnings,    PCS Synthetic Coverage,    Troubleshooting line assignments,    PCS Web Failure,    PCS Synthetic HTML error,2
5/1/2025 4:40,5/1/2025 4:42,IP Address,172.59.177.27,100,108,TRUE,5/1/2025 4:42,R_2sacWfH2P6BcqYh,,,,,42.6701,-73.7754,anonymous,EN,Chrome,133.0.0.0,Macintosh,1280x720,    Contact Center,    TruCare,    Mixed status,    Help Desk / Support,    MHK Slowness (USG),    Increasing degradation,    Eligibility Firewall Timeout,    Access to Care Alerts,    PCS Web Failure,    PCS Synthetic HTML error,3
5/1/2025 4:55,5/1/2025 4:59,IP Address,74.79.98.185,100,227,TRUE,5/1/2025 4:59,R_1v9vXZV5oAzNLtD,,,,,43.1061,-75.2336,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x960,    Provider,1    PCS,    Mixed status,    Help Desk / Support,    PCS Web Alert,    Fluctuating warnings,    PCS Synthetic Coverage,    Active Managed Incidents,    MHK Outage,    ImageOne socket exceptions,4
5/1/2025 5:04,5/1/2025 5:06,IP Address,169.252.4.22,100,136,TRUE,5/1/2025 5:06,R_6VPbK8WCnfsiuRE,,,,,38.8915,-77.0135,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,    Contact Center,    TruCare,    Mixed status,    Help Desk / Support,    Firewall issue (USC),    Fluctuating warnings,    TruCare Authorization issue,    Active Managed Incidents,    Firewall Degradation,    TruCare handshake failure,2
5/1/2025 5:15,5/1/2025 5:17,IP Address,76.34.164.148,100,121,TRUE,5/1/2025 5:17,R_3JwXbZ7lpb0FI3f,,,,,39.1267,-82.9855,anonymous,EN,Chrome,135.0.0.0,CrOS x86_64 14541.0.0,1920x1080,    Provider,    TruCare,    All Healthy,    Help Desk / Support,    PCS Web Alert,    Stable with no warnings,    TruCare Authorization issue,    Active Managed Incidents,    MHK Outage,    Firewall reboot,StatusQuo
5/1/2025 5:13,5/1/2025 5:19,IP Address,108.239.114.127,100,338,TRUE,5/1/2025 5:19,R_3UWyS39ptQ85ibc,,,,,32.9993,-96.8346,anonymous,EN,Chrome,135.0.0.0,Linux x86_64,800x1280,    Pharmacy,    SIE Member Web,    All Healthy,    Help Desk / Support,    Firewall issue (USC),    Increasing degradation,    TruCare Authorization issue,    System grid color,    Firewall Degradation,    Firewall reboot,3
5/1/2025 5:32,5/1/2025 5:35,IP Address,74.134.212.46,100,146,TRUE,5/1/2025 5:35,R_7f1i2fD93qTpV6z,,,,,40.5678,-84.1936,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1444x813,    Client,    SIE Member Web,    Mostly Degraded,    HR,    PCS Web Alert,    Fluctuating warnings,    MHK Performance Lag,    Active Managed Incidents,    MHK Outage,    PCS Synthetic HTML error,StatusQuo
5/1/2025 5:34,5/1/2025 5:36,IP Address,73.47.54.39,100,136,TRUE,5/1/2025 5:36,R_5I5yZB1STa4G7eq,,,,,42.1139,-72.5508,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,    Pharmacy,    ImageOne,    Mixed status,    Help Desk / Support,    PCS Web Alert,    Fluctuating warnings,    TruCare Authorization issue,    Active Managed Incidents,    Eligibility Failure,    PCS Synthetic HTML error,3
5/1/2025 5:44,5/1/2025 5:46,IP Address,172.56.164.158,100,113,TRUE,5/1/2025 5:46,R_5VfQYJFTWKqZMQd,,,,,40.7035,-73.9235,anonymous,EN,Edge,135.0.0.0,Windows NT 10.0,1536x1024,    Provider,    ImageOne,    Mixed status,    Help Desk / Support,    Firewall issue (USC),    Increasing degradation,    Eligibility Firewall Timeout,    Active Managed Incidents,    Firewall Degradation,    Firewall reboot,4
5/1/2025 5:44,5/1/2025 5:47,IP Address,73.111.225.79,100,163,TRUE,5/1/2025 5:47,R_3pleaSbDdcUzPH3,,,,,42.2284,-87.9722,anonymous,EN,Firefox,138,Windows NT 10.0,1920x1080,    Contact Center,    SIE Member Web,    All Healthy,    Help Desk / Support,    MHK Slowness (USG),    Increasing degradation,    PCS Synthetic Coverage,    System grid color,    Firewall Degradation,    Firewall reboot,2
5/1/2025 5:47,5/1/2025 5:55,IP Address,208.127.91.249,100,469,TRUE,5/1/2025 5:55,R_3RflIIqdi1MT8W9,,,,,36.1025,-80.2224,anonymous,EN,Firefox,138,Windows NT 10.0,1920x1080,    Contact Center,1    PCS,    Mixed status,    Marketing,    Firewall issue (USC),    Increasing degradation,    PCS Synthetic Coverage,    System grid color,    PCS Web Failure,    Firewall reboot,4
5/1/2025 6:06,5/1/2025 6:10,IP Address,74.215.232.21,100,187,TRUE,5/1/2025 6:10,R_7RvWIbjpTaWxHiw,,,,,39.3434,-84.4009,anonymous,EN,Chrome,134.0.0.0,CrOS x86_64 14541.0.0,1366x768,    Contact Center,1    PCS,    All Healthy,    Help Desk / Support,    MHK Slowness (USG),    Increasing degradation,    Eligibility Firewall Timeout,    Active Managed Incidents,    Firewall Degradation,    PCS Synthetic HTML error,StatusQuo
5/1/2025 6:56,5/1/2025 6:58,IP Address,68.9.72.102,100,104,TRUE,5/1/2025 6:58,R_6dPXsAoThSjEz6P,,,,,41.7497,-71.4079,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1280x720,    Contact Center,    TruCare,    All Healthy,    Help Desk / Support,    MHK Slowness (USG),    Stable with no warnings,    MHK Performance Lag,    Troubleshooting line assignments,    Eligibility Failure,    Firewall reboot,2
5/1/2025 7:09,5/1/2025 7:12,IP Address,192.42.92.99,100,154,TRUE,5/1/2025 7:12,R_7kOg05I9EU9x3XP,,,,,29.6138,-82.386,anonymous,EN,Edge,122.0.0.0,Windows NT 10.0,1280x1024,    Contact Center,    TruCare,    Mixed status,    Help Desk / Support,    MHK Slowness (USG),    Increasing degradation,    PCS Synthetic Coverage,    Troubleshooting line assignments,    MHK Outage,    TruCare handshake failure,2
5/1/2025 7:39,5/1/2025 7:41,IP Address,50.120.211.146,100,130,TRUE,5/1/2025 7:41,R_1pRZmpyNR1mBUo9,,,,,40.1524,-76.8189,anonymous,EN,Firefox,138,Windows NT 10.0,3072x1728,    Provider,    TruCare,    All Healthy,    Help Desk / Support,    MHK Slowness (USG),    Stable with no warnings,    Eligibility Firewall Timeout,    Active Managed Incidents,    Firewall Degradation,    Firewall reboot,4
5/1/2025 7:08,5/1/2025 8:14,IP Address,76.50.197.149,100,3958,TRUE,5/1/2025 8:14,R_3zuR2pizUoz8bPc,,,,,34.2166,-118.6028,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1280x720,    Provider,    ImageOne,    Mixed status,    Help Desk / Support,    Firewall issue (USC),    Increasing degradation,    TruCare Authorization issue,    System grid color,    Eligibility Failure,    Firewall reboot,3
5/1/2025 8:31,5/1/2025 8:35,IP Address,69.142.194.80,100,225,TRUE,5/1/2025 8:35,R_31OiO0mqShvO4Mx,,,,,39.8115,-74.9829,anonymous,EN,Chrome,136.0.0.0,Windows NT 10.0,2560x1440,    Client,1    PCS,    Mixed status,    Help Desk / Support,    Firewall issue (USC),    Fluctuating warnings,    MHK Performance Lag,    Active Managed Incidents,    Firewall Degradation,    PCS Synthetic HTML error,StatusQuo
5/1/2025 8:39,5/1/2025 8:42,IP Address,75.61.150.214,100,169,TRUE,5/1/2025 8:42,R_5ZAEhbU1xVNPiKd,,,,,36.0344,-79.482,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,    Pharmacy,    TruCare,    Mixed status,    Help Desk / Support,    Firewall issue (USC),    Increasing degradation,    TruCare Authorization issue,    Access to Care Alerts,    PCS Web Failure,    Firewall reboot,2
5/1/2025 8:52,5/1/2025 8:54,IP Address,76.187.180.23,100,135,TRUE,5/1/2025 8:54,R_5zvESCG6yudkkte,,,,,32.9103,-96.7283,anonymous,EN,Edge,135.0.0.0,Windows NT 10.0,1920x1080,    Pharmacy,    TruCare,    Mixed status,    Help Desk / Support,    Firewall issue (USC),    Fluctuating warnings,    PCS Synthetic Coverage,    Active Managed Incidents,    Firewall Degradation,    TruCare handshake failure,StatusQuo
5/1/2025 8:55,5/1/2025 8:58,IP Address,76.104.33.10,100,159,TRUE,5/1/2025 8:58,R_76zhaE99vNwUwff,,,,,38.4718,-77.5102,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,    Contact Center,    TruCare,    All Healthy,    Help Desk / Support,    MHK Slowness (USG),    Stable with no warnings,    TruCare Authorization issue,    System grid color,    Firewall Degradation,    TruCare handshake failure,3
5/1/2025 9:06,5/1/2025 9:12,IP Address,104.231.10.173,100,355,TRUE,5/1/2025 9:12,R_1VdOu3g1Bk1mTP3,,,,,39.7946,-84.32,anonymous,EN,Chrome,136.0.0.0,Windows NT 10.0,1536x960,    Pharmacy,    TruCare,    Mixed status,    Help Desk / Support,    Eligibility Socket Error,    Stable with no warnings,    TruCare Authorization issue,    Troubleshooting line assignments,    Firewall Degradation,    TruCare handshake failure,4
5/1/2025 9:21,5/1/2025 9:25,IP Address,73.10.104.145,100,242,TRUE,5/1/2025 9:25,R_14dTWjQRR24DTiN,,,,,40.8022,-74.1914,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,    Contact Center,    ImageOne,    Mixed status,    Help Desk / Support,    MHK Slowness (USG),    Fluctuating warnings,    TruCare Authorization issue,    Active Managed Incidents,    Firewall Degradation,    ImageOne socket exceptions,4
5/1/2025 10:24,5/1/2025 10:27,IP Address,136.56.209.2,100,160,TRUE,5/1/2025 10:27,R_5PgXcXiWd2w9g4H,,,,,35.8047,-78.8881,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1280x720,    Contact Center,    ImageOne,    All Healthy,    Help Desk / Support,    Eligibility Socket Error,    Increasing degradation,    MHK Performance Lag,    Troubleshooting line assignments,    Eligibility Failure,    Firewall reboot,2
5/1/2025 10:40,5/1/2025 10:42,IP Address,50.48.153.207,100,134,TRUE,5/1/2025 10:42,R_1Rw45SnaYQmyjyS,,,,,43.0801,-77.6342,anonymous,EN,Edge,135.0.0.0,Windows NT 10.0,1536x864,    Client,    SIE Member Web,    Mixed status,    Help Desk / Support,    Eligibility Socket Error,    Fluctuating warnings,    TruCare Authorization issue,    System grid color,    PCS Web Failure,    Firewall reboot,3
5/1/2025 10:58,5/1/2025 11:11,IP Address,130.212.140.21,100,789,TRUE,5/1/2025 11:11,R_6jkBAXeFZb9dvQj,,,,,37.6873,-121.8957,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,    Pharmacy,    ImageOne,    Mixed status,    Help Desk / Support,    MHK Slowness (USG),    Increasing degradation,    MHK Performance Lag,    Active Managed Incidents,    PCS Web Failure,    PCS Synthetic HTML error,2
5/1/2025 11:18,5/1/2025 11:21,IP Address,66.170.208.114,100,221,TRUE,5/1/2025 11:21,R_3gceGYsFUAP1Nvz,,,,,31.27,-94.6469,anonymous,EN,Chrome,135.0.0.0,Linux x86_64,1920x1080,    Client,1    PCS,    Mixed status,    Help Desk / Support,    PCS Web Alert,    Fluctuating warnings,    MHK Performance Lag,    Active Managed Incidents,    PCS Web Failure,    TruCare handshake failure,4
5/1/2025 11:35,5/1/2025 11:40,IP Address,24.247.44.49,100,323,TRUE,5/1/2025 11:40,R_1wFVnMI1U1Iv98F,,,,,45.6036,-94.1615,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,    Contact Center,    TruCare,    All Healthy,    Help Desk / Support,    MHK Slowness (USG),    Fluctuating warnings,    TruCare Authorization issue,    Access to Care Alerts,    Firewall Degradation,    TruCare handshake failure,StatusQuo
5/1/2025 12:16,5/1/2025 12:17,IP Address,24.16.7.29,100,109,TRUE,5/1/2025 12:17,R_6eQ6rIGpBRd7SaT,,,,,47.6298,-117.3989,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1200,    Contact Center,    SIE Member Web,    Mixed status,    Help Desk / Support,    Firewall issue (USC),    Fluctuating warnings,    TruCare Authorization issue,    System grid color,    MHK Outage,    Firewall reboot,StatusQuo
